SNO,Gender,I am able to quickly adapt to changes in life,I trust others easily,I feel satisfied with my personal life,I feel satisfied with my school life,I feel responsible for doing well in my life,I feel confident about my body image,I can understand and respect others  viewpoints,I hesitate to ask questions in class,I find it difficult to initiate conversations,People in my life see me as a happy person,My teachers see me as a good leader,My friends consider me trustworthy,I give in to peer pressure to fit in,I worry that people do not  like me,I often find it difficult to stay focused during class,I have trouble finishing assignments or tasks on time,"I frequently forget things like assignments, books, or my personal items","I get distracted easily, even by things that aren't part of the task at hand",I often find myself daydreaming or thinking about unrelated things when I should be focusing,I have trouble sitting still or staying in one place for a long time,"I talk or move around excessively, even when it's not appropriate","I tend to act impulsively, without thinking about the consequences",I often interrupt others or have trouble waiting for my turn during conversations,I struggle with organizing tasks or managing my time effectively,"I often feel restless or find it hard to relax, even when I should be resting","When I'm asked to complete a task, I often start it but don't finish it","Do you often lose things necessary for tasks (e.g., books, pencils, assignments)?",I am satisfied with my academic performance,I am able to submit my assignments on time,What prevents you from doing well academically?,I feel anxious due to:,I feel valued when I perform well academically,I get bothered when teachers don't notice my efforts,I feel like I donât belong or fit in at school,I feel jealous of others who are more popular or successful,I don't enjoy group activities or school events,I find online classes better than offline classes,What challenges did you face during online classes?,I often feel happy,I often feel anxious,I often feel lonely or tearful,I feel hopeful during stressful situations,I can understand others feelings and respond accordingly,I get into fights with my classmates or friends,I skip school or classes without a good reason,I tend to lie or hide the truth to avoid trouble,I have trouble following rules or instructions,"When feeling low, I prefer:",I believe I can solve challenging tasks,I have people I can talk to about my feelings,I usually cope with stress by:,I feel satisfied with my eating habits,I skip meals intentionally,I eat even when I'm not hungry due to stress or emotions,I feel guilty after eating,I avoid eating in front of others,I worry excessively about gaining weight,I feel pressure to look a certain way because of social media or peers,I restrict food intake to control my weight,Do you think your eating habits affect your emotional or physical well-being?,I feel overwhelmed by my emotions,I have felt hopeless or helpless recently,I feel like life is not worth living,I have thoughts of hurting myself,I find it difficult to share my feelings with others,I take part  in risky activities,Stress Risk %,Depression Risk %,Eating Disorder Risk %,Behavioral Issues Risk %,Mental Health Risk %,Stress Classification,Depression Classification,Eating Disorder Classification,Behavioral Issues Classification,Predicted Risk %
11,Prefer not to say,Rarely,Rarely,Never,Never,Never,Never,Always,No,Rarely,Always,Rarely,Never,Rarely,Often,Sometimes,Always,Rarely,Never,Rarely,Always,Rarely,Rarely,Sometimes,Often,Never,Sometimes,Always,Sometimes,Always,Distractions,Exams,No,Yes,yes,No,No,Yes,Electricity/internet problems  ,Never,Rarely,Always,Always,No,Always,Rarely,Sometimes,Often,Ignoring the feelings  ,Often,No,Changing the way I think  ,Rarely,Often,Rarely,Never,Always,Rarely,Always,Never,Rarely,Rarely,No,No,Skip,Often,"Skipping classes, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",55.00000000000001,30.0,37.5,75.0,49.375,Moderate Risk,Moderate Risk,Moderate Risk,High Risk,50.92083333333333
12,Male,Often,Often,Always,Rarely,Sometimes,Often,Always,No,Often,Never,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Never,Often,Rarely,Never,Sometimes,Always,Never,Rarely,Often,Always,Sometimes,Often,Poor study habits,I dont feel anxious,Yes,No,No,yes,No,Yes,Lack of social interaction  ,Rarely,Always,Often,Often,No,Rarely,Always,Rarely,Sometimes,Talking to teachers  ,Never,Yes,Yoga or meditation  ,Often,Never,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Always,Not Sure,Not Sure,Rarely,Never,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",75.0,45.0,45.83333333333333,33.33333333333333,49.79166666666666,High Risk,Moderate Risk,Moderate Risk,Moderate Risk,49.02291666666667
13,Male,Often,Sometimes,Never,Sometimes,Never,Never,Always,No,Always,Sometimes,Sometimes,Rarely,Rarely,Always,Always,Often,Never,Sometimes,Always,Often,Rarely,Always,Always,Often,Sometimes,Always,Rarely,Sometimes,Always,Difficulty managing time,Results,Yes,Yes,yes,No,No,Yes,Difficulty understanding content  ,Often,Rarely,Always,Rarely,No,Often,Never,Sometimes,Often,Talking to parents  ,Rarely,Yes,Watching TV  ,Often,Rarely,Always,Always,Rarely,Often,Always,Often,Rarely,Never,Not Sure,Not Sure,Always,Never,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Using weapons or carrying dangerous objects that could hurt others",60.0,40.0,58.333333333333336,66.66666666666666,56.25,High Risk,Moderate Risk,Moderate Risk,High Risk,55.42291666666667
14,Male,Never,Always,Never,Always,Always,Often,Always,No,Often,Rarely,Often,Often,Always,Sometimes,Never,Never,Often,Never,Rarely,Never,Rarely,Never,Often,Never,Rarely,Often,Often,Rarely,Sometimes,Lack of concentration,Studies,No,Yes,No,yes,yes,Yes,Personal reasons  ,Never,Always,Sometimes,Always,Yes,Never,Sometimes,Always,Rarely,Solving on my own  ,Never,Yes,Helping others  ,Rarely,Always,Always,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,No,No,Skip,Skip,"Skipping classes, Bullying or getting into fights, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",65.0,30.0,70.83333333333334,41.66666666666667,51.875,High Risk,Moderate Risk,High Risk,Moderate Risk,49.73333333333334
15,Male,Often,Rarely,Never,Always,Always,Sometimes,Sometimes,Yes,Never,Always,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Often,Sometimes,Often,Rarely,Often,Rarely,Rarely,Often,Never,Never,Sometimes,Sometimes,Never,Difficulty understanding content,College admissions,Yes,No,yes,No,yes,No,Technical issues  ,Often,Often,Always,Often,No,Often,Never,Always,Rarely,Waiting for things to improve  ,Always,No,Writing a diary  ,Sometimes,Sometimes,Always,Sometimes,Always,Often,Never,Always,Always,Often,Yes,Yes,Always,Sometimes,"Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license",65.0,70.0,83.33333333333334,66.66666666666666,71.25,High Risk,High Risk,High Risk,High Risk,67.77916666666665
16,Male,Rarely,Always,Rarely,Rarely,Sometimes,Always,Sometimes,Yes,Always,Always,Often,Sometimes,Sometimes,Sometimes,Often,Rarely,Often,Never,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Often,Often,Rarely,Never,Rarely,Poor study habits,Career,No,Yes,No,No,yes,No,Lack of social interaction  ,Often,Always,Never,Often,No,Rarely,Rarely,Always,Never,Talking to friends  ,Often,No,Changing the way I think  ,Rarely,Never,Always,Often,Rarely,Sometimes,Rarely,Often,Sometimes,Sometimes,No,No,Always,Often,"Skipping classes, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally",45.0,40.0,54.166666666666664,41.66666666666667,45.20833333333333,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,45.38958333333335
17,Prefer not to say,Always,Never,Always,Sometimes,Rarely,Rarely,Never,No,Always,Always,Always,Rarely,Always,Never,Rarely,Sometimes,Rarely,Often,Never,Always,Never,Rarely,Sometimes,Never,Always,Sometimes,Always,Often,Never,Distractions,Exams,No,Yes,No,No,yes,Yes,Lack of time management  ,Never,Sometimes,Often,Always,No,Rarely,Never,Sometimes,Often,Ignoring the feelings  ,Rarely,Yes,Watching TV  ,Often,Often,Rarely,Often,Rarely,Often,Always,Rarely,Often,Always,Yes,Yes,Often,Sometimes,Skipping classes,80.0,65.0,50.0,50.0,61.25,High Risk,High Risk,Moderate Risk,Moderate Risk,57.677083333333314
18,Male,Always,Rarely,Rarely,Always,Sometimes,Always,Rarely,Yes,Always,Rarely,Never,Often,Rarely,Rarely,Always,Never,Never,Often,Sometimes,Never,Never,Often,Never,Always,Often,Always,Often,Sometimes,Often,Lack of concentration,Studies,No,No,yes,No,yes,No,Electricity/internet problems  ,Never,Always,Sometimes,Sometimes,Yes,Sometimes,Sometimes,Rarely,Never,Talking to teachers  ,Always,Yes,Yoga or meditation  ,Sometimes,Never,Sometimes,Never,Always,Never,Sometimes,Always,Sometimes,Always,No,No,Skip,Skip,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Using weapons or carrying dangerous objects that could hurt others",60.0,30.0,50.0,25.0,41.25,High Risk,Moderate Risk,Moderate Risk,Low Risk,46.23333333333332
19,Female,Never,Rarely,Often,Always,Always,Always,Rarely,No,Sometimes,Always,Always,Often,Rarely,Rarely,Never,Sometimes,Never,Always,Sometimes,Always,Often,Never,Rarely,Rarely,Rarely,Always,Rarely,Never,Rarely,Difficulty understanding content,Results,Yes,No,yes,yes,No,No,Technical issues  ,Often,Sometimes,Never,Never,Yes,Often,Rarely,Sometimes,Sometimes,Solving on my own  ,Often,Yes,Helping others  ,Always,Never,Never,Never,Rarely,Often,Never,Often,Sometimes,Sometimes,Yes,Yes,Skip,Rarely,"Running away from home, Avoiding homework or assignments intentionally",35.0,60.0,25.0,58.333333333333336,44.583333333333336,Moderate Risk,High Risk,Low Risk,Moderate Risk,47.94791666666666
20,Prefer not to say,Never,Sometimes,Sometimes,Always,Rarely,Always,Always,Yes,Often,Never,Never,Never,Always,Sometimes,Never,Always,Sometimes,Rarely,Always,Rarely,Sometimes,Often,Rarely,Never,Never,Never,Always,Always,Rarely,Difficulty managing time,I dont feel anxious,No,Yes,yes,yes,No,Yes,Personal reasons  ,Sometimes,Never,Often,Sometimes,No,Often,Never,Often,Often,Waiting for things to improve  ,Rarely,Yes,Writing a diary  ,Never,Rarely,Sometimes,Rarely,Rarely,Often,Sometimes,Never,Often,Rarely,Not Sure,Not Sure,Skip,Often,"Skipping classes, Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license",45.0,45.0,33.33333333333333,75.0,49.58333333333333,Moderate Risk,Moderate Risk,Moderate Risk,High Risk,51.74791666666666
21,Male,Sometimes,Sometimes,Sometimes,Never,Rarely,Often,Sometimes,No,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Always,Always,Always,Never,Always,Rarely,Often,Rarely,Often,Often,Rarely,Rarely,Sometimes,Rarely,Never,Distractions,Career,No,No,yes,yes,yes,Yes,Difficulty understanding content  ,Never,Often,Rarely,Always,No,Sometimes,Never,Always,Sometimes,Talking to friends  ,Rarely,Yes,Changing the way I think  ,Often,Always,Rarely,Sometimes,Never,Often,Rarely,Always,Often,Sometimes,Yes,Yes,Skip,Skip,"Skipping classes, Bullying or getting into fights, Driving without a license",50.0,60.0,58.333333333333336,66.66666666666666,58.75,Moderate Risk,High Risk,Moderate Risk,High Risk,57.53958333333334
22,Prefer not to say,Always,Rarely,Rarely,Rarely,Often,Never,Never,Yes,Sometimes,Often,Never,Never,Sometimes,Never,Always,Always,Rarely,Sometimes,Rarely,Never,Always,Rarely,Always,Often,Rarely,Rarely,Rarely,Never,Often,Lack of concentration,College admissions,Yes,No,yes,No,No,No,Lack of social interaction  ,Sometimes,Never,Always,Sometimes,Yes,Often,Sometimes,Never,Sometimes,Talking to parents  ,Sometimes,No,Watching TV  ,Always,Often,Sometimes,Always,Rarely,Often,Rarely,Rarely,Never,Never,Yes,Yes,Skip,Never,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",40.0,60.0,45.83333333333333,41.66666666666667,46.875,Moderate Risk,High Risk,Moderate Risk,Moderate Risk,48.48958333333334
23,Prefer not to say,Never,Often,Sometimes,Rarely,Often,Never,Sometimes,Sometimes,Rarely,Always,Often,Always,Rarely,Sometimes,Always,Sometimes,Often,Never,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Difficulty managing time,Studies,No,No,No,No,yes,No,Lack of time management  ,Often,Sometimes,Never,Never,Yes,Sometimes,Often,Always,Always,Ignoring the feelings  ,Never,No,Helping others  ,Often,Always,Often,Often,Rarely,Always,Rarely,Often,Often,Rarely,Not Sure,Not Sure,Rarely,Rarely,"Driving without a license, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",40.0,45.0,70.83333333333334,83.33333333333334,59.79166666666667,Moderate Risk,Moderate Risk,High Risk,High Risk,59.83125000000005
24,Female,Always,Never,Rarely,Rarely,Often,Never,Sometimes,No,Always,Sometimes,Often,Never,Always,Often,Rarely,Sometimes,Rarely,Always,Always,Sometimes,Often,Always,Rarely,Never,Often,Rarely,Sometimes,Sometimes,Rarely,Difficulty understanding content,Exams,Yes,yes,No,yes,yes,No,Technical issues  ,Often,Sometimes,Never,Rarely,No,Always,Sometimes,Often,Never,Talking to teachers  ,Often,Yes,Yoga or meditation  ,Often,Never,Often,Often,Never,Often,Often,Sometimes,Sometimes,Never,No,No,Often,Sometimes,"Skipping classes, Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",40.0,35.0,41.66666666666667,58.333333333333336,43.75,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,43.17291666666666
25,Female,Often,Rarely,Often,Rarely,Sometimes,Never,Always,No,Rarely,Always,Sometimes,Sometimes,Never,Rarely,Never,Often,Sometimes,Never,Always,Often,Rarely,Never,Never,Sometimes,Rarely,Never,Always,Often,Always,Poor study habits,Results,No,No,No,No,yes,Yes,Electricity/internet problems  ,Always,Always,Always,Always,No,Sometimes,Sometimes,Rarely,Rarely,Waiting for things to improve  ,Always,No,Writing a diary  ,Never,Often,Never,Never,Often,Rarely,Often,Often,Always,Always,Yes,Yes,Often,Always,"Skipping classes, Experimenting with substances I try alcohol, smoking, or other substances, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",80.0,85.0,54.166666666666664,33.33333333333333,63.125,High Risk,High Risk,Moderate Risk,Moderate Risk,57.85416666666667
26,Male,Rarely,Never,Rarely,Never,Always,Sometimes,Often,Yes,Always,Always,Never,Often,Sometimes,Always,Often,Always,Often,Rarely,Sometimes,Sometimes,Always,Rarely,Often,Always,Rarely,Often,Sometimes,Often,Sometimes,Distractions,Career,No,No,yes,yes,No,No,Difficulty understanding content  ,Often,Often,Always,Sometimes,Yes,Sometimes,Sometimes,Always,Never,Solving on my own  ,Never,Yes,Changing the way I think  ,Rarely,Often,Often,Never,Often,Always,Never,Rarely,Rarely,Always,No,No,Often,Always,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Avoiding homework or assignments intentionally",75.0,45.0,45.83333333333333,50.0,53.95833333333333,High Risk,Moderate Risk,Moderate Risk,Moderate Risk,49.09166666666666
27,Male,Rarely,Always,Sometimes,Always,Never,Always,Rarely,No,Rarely,Never,Often,Always,Sometimes,Never,Often,Sometimes,Always,Often,Rarely,Often,Never,Rarely,Sometimes,Rarely,Sometimes,Always,Sometimes,Rarely,Always,Lack of concentration,Studies,Yes,Yes,No,yes,yes,Yes,Lack of social interaction  ,Never,Never,Sometimes,Often,No,Rarely,Sometimes,Rarely,Never,Talking to parents  ,Sometimes,Yes,Watching TV  ,Never,Rarely,Often,Rarely,Always,Often,Never,Always,Always,Always,No,No,Skip,Often,"Skipping classes, Bullying or getting into fights, Stealing or shoplifting, Using weapons or carrying dangerous objects that could hurt others",45.0,35.0,70.83333333333334,16.666666666666664,41.875,Moderate Risk,Moderate Risk,High Risk,Low Risk,41.49375
28,Male,Sometimes,Rarely,Often,Rarely,Often,Often,Always,No,Always,Never,Sometimes,Always,Sometimes,Always,Sometimes,Always,Often,Never,Always,Often,Often,Always,Never,Rarely,Sometimes,Rarely,Never,Always,Always,Distractions,I dont feel anxious,Yes,yes,yes,yes,yes,No,Lack of time management  ,Rarely,Never,Always,Always,No,Often,Always,Never,Sometimes,Talking to teachers  ,Often,No,Yoga or meditation  ,Sometimes,Never,Often,Rarely,Often,Never,Never,Sometimes,Rarely,Rarely,Yes,Yes,Rarely,Skip,"Skipping classes, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally",25.0,75.0,41.66666666666667,41.66666666666667,45.83333333333334,Low Risk,High Risk,Moderate Risk,Moderate Risk,48.51874999999999
